,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id
0,0.26649558368851156,0.5109628438949585,0.4961268762856964,[0.58258747 0.40966628],0.5044277060417663,[0.52647059 0.48238482],0.504047358834244,[0.65209472 0.356     ],0.2386528491973877,0.5978647470474243,0.5728506665590487,[0.67621777 0.46948357],0.572284048754637,[0.69411765 0.45045045],0.5747069777631723,[0.65921788 0.49019608],"(64, 64)",0.5,0.001,1,focal,2,False,,64,0
0,0.2952491044998169,0.49571019411087036,0.4860248317765233,[0.55658005 0.41546961],0.4898627405873782,[0.51552795 0.46419753],0.490367941712204,[0.60473588 0.376     ],0.2509958177804947,0.5978647470474243,0.5678982105191536,[0.68169014 0.45410628],0.5675595238095238,[0.6875     0.44761905],0.5683809836783875,[0.67597765 0.46078431],"(64, 64)",0.5,0.001,12,focal,2,False,,64,0
0,0.26298047952792225,0.5185891389846802,0.5015407921788919,[0.59372486 0.40935673],0.5123290173316557,[0.53170029 0.49295775],0.5110655737704918,[0.67213115 0.35      ],0.236218923330307,0.6014235019683838,0.5672167216721673,[0.68888889 0.44554455],0.5675414364640884,[0.68508287 0.45      ],0.5669569503779166,[0.69273743 0.44117647],"(64, 64)",0.5,0.001,123,focal,2,False,,64,0
0,0.26670413683442507,0.5100095272064209,0.48681796031492225,[0.59591195 0.37772397],0.5013661549949512,[0.5242047  0.47852761],0.5011730418943534,[0.69034608 0.312     ],0.23296219408512114,0.608540952205658,0.5670383236216943,[0.70108696 0.43298969],0.5695307108350587,[0.68253968 0.45652174],0.5662175484719028,[0.72067039 0.41176471],"(64, 64)",0.5,0.0001,1,focal,2,False,,64,1
0,0.26447535087080565,0.5109628438949585,0.48888901552603004,[0.59510655 0.38267148],0.5027160878236794,[0.52506964 0.48036254],0.5023515482695811,[0.6867031 0.318    ],0.23360560238361358,0.6298932433128357,0.59261737481878,[0.71584699 0.46938776],0.5949482307429742,[0.70053476 0.4893617 ],0.5914119837879286,[0.73184358 0.45098039],"(64, 64)",0.5,0.0001,12,focal,2,False,,64,1
0,0.26565857494578643,0.5090562701225281,0.4893640148776188,[0.58964143 0.3890866 ],0.5011067154502432,[0.52407932 0.47813411],0.500976320582878,[0.67395264 0.328     ],0.24101748168468476,0.6120996475219727,0.5720114581150003,[0.70299728 0.44102564],0.5742679020819035,[0.68617021 0.46236559],0.5711195092562165,[0.72067039 0.42156863],"(64, 64)",0.5,0.0001,123,focal,2,False,,64,1
0,0.26464805094634786,0.5176358222961426,0.5021516147427817,[0.58995138 0.41435185],0.5115725515360552,[0.53138686 0.49175824],0.5105118397085611,[0.66302368 0.358     ],0.23706901967525482,0.6014235019683838,0.5708519690193083,[0.68539326 0.45631068],0.5705943068231204,[0.68926554 0.45192308],0.571174279767773,[0.68156425 0.46078431],"(64, 64)",0.5,0.0005,1,focal,2,False,,64,2
0,0.27032210809343,0.5090562701225281,0.48241305208012975,[0.5998446 0.3649815],0.4994597373626469,[0.52303523 0.47588424],0.49954826958105647,[0.70309654 0.296     ],0.23414450585842134,0.6156583428382874,0.572804054054054,[0.70810811 0.4375    ],0.5762652705061082,[0.68586387 0.46666667],0.5718041406506736,[0.73184358 0.41176471],"(64, 64)",0.5,0.0005,12,focal,2,False,,64,2
0,0.2678936974090688,0.5185891389846802,0.5085402091657768,[0.57881568 0.43826474],0.5137902448428764,[0.53384615 0.49373434],0.5130291438979964,[0.63205829 0.394     ],0.23934421837329864,0.6192170977592468,0.5924610651015899,[0.69688385 0.48803828],0.5917660328714147,[0.70689655 0.47663551],0.5935754189944134,[0.68715084 0.5       ],"(64, 64)",0.5,0.0005,123,focal,2,False,,64,2
0,0.2667009628870908,0.5119161009788513,0.49953409319626974,[0.57825371 0.42081448],0.5060972744360902,[0.52781955 0.484375  ],0.505672131147541,[0.63934426 0.372     ],0.2425316095352173,0.6156583428382874,0.5878422425032594,[0.69491525 0.48076923],0.5872776280323451,[0.70285714 0.47169811],0.5886734582100996,[0.68715084 0.49019608],"(64, 64)",0.1,0.001,1,focal,2,False,,64,3
