,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id
0,0.2993171784807654,0.557673990726471,0.5563641136323865,[0.53225806 0.58047016],0.5628198824397113,[0.59593679 0.52970297],0.5614371584699454,[0.48087432 0.642     ],0.2938177943229675,0.7295373678207397,0.6773628233019096,[0.8071066  0.54761905],0.7182522903453137,[0.73953488 0.6969697 ],0.6696242742907219,[0.88826816 0.45098039],35,1,False,100,0.5,0.001,1,focal,2,False,,64,0
0,0.4216986158314873,0.5119161009788513,0.5113721551416697,[0.52767528 0.49506903],0.5114531437506818,[0.53457944 0.48832685],0.5114735883424408,[0.52094718 0.502     ],0.3999246895313263,0.7366548180580139,0.6836740903005963,[0.81313131 0.55421687],0.7303427419354839,[0.74193548 0.71875   ],0.6752108664694928,[0.89944134 0.45098039],35,1,False,100,0.5,0.001,12,focal,2,False,,64,0
0,0.41607984023935657,0.5395615100860596,0.5393203464187485,[0.54986021 0.52878049],0.5395837877135587,[0.5629771  0.51619048],0.5396703096539162,[0.53734062 0.542     ],0.3251968502998352,0.7295373678207397,0.6795318127250901,[0.80612245 0.55294118],0.7164802540734604,[0.74178404 0.69117647],0.6717329389856501,[0.88268156 0.46078431],35,1,False,100,0.5,0.001,123,focal,2,False,,64,0
0,0.3184991531512317,0.5614871382713318,0.5593531749510534,[0.52868852 0.59001783],0.5681848987552429,[0.60421546 0.53215434],0.5659726775956284,[0.46994536 0.662     ],0.28584638237953186,0.7437722682952881,0.68544776119403,[0.82089552 0.55      ],0.7492655017782588,[0.73991031 0.75862069],0.6765801292584073,[0.92178771 0.43137255],35,1,False,100,0.5,0.0001,1,focal,2,False,,64,1
0,0.3288182546110714,0.5881792306900024,0.5881339295452067,[0.58381503 0.59245283],0.5901730937773882,[0.6196319  0.56071429],0.5899562841530055,[0.55191257 0.628     ],0.2821556210517883,0.7473309636116028,0.6909744272858227,[0.82294264 0.55900621],0.7529775538250114,[0.74324324 0.76271186],0.681482090042721,[0.92178771 0.44117647],35,1,False,100,0.5,0.0001,12,focal,2,False,,64,1
0,0.4089233629843768,0.5662536025047302,0.5662283464066009,[0.56953642 0.56292027],0.5670546669189456,[0.59251969 0.54158965],0.5671347905282331,[0.54826958 0.586     ],0.3345073401927948,0.7437722682952881,0.6877777777777778,[0.82       0.55555556],0.7460407239819005,[0.74208145 0.75      ],0.6786887939533355,[0.91620112 0.44117647],35,1,False,100,0.5,0.0001,123,focal,2,False,,64,1
0,0.2896216722095714,0.5586272478103638,0.5554991182045235,[0.5182102  0.59278804],0.5667056591120392,[0.60436893 0.52904239],0.563775956284153,[0.45355191 0.674     ],0.2655883550643921,0.7437722682952881,0.6877777777777778,[0.82       0.55555556],0.7460407239819005,[0.74208145 0.75      ],0.6786887939533355,[0.91620112 0.44117647],35,1,False,100,0.5,0.0005,1,focal,2,False,,64,2
0,0.3701355054098017,0.5795996189117432,0.5766201104280666,[0.54110302 0.6121372 ],0.5886893965950832,[0.63106796 0.54631083],0.5847941712204007,[0.47358834 0.696     ],0.291452220082283,0.7402135133743286,0.6868483321883827,[0.81612091 0.55757576],0.7366389981068879,[0.74311927 0.73015873],0.6780041625588783,[0.90502793 0.45098039],35,1,False,100,0.5,0.0005,12,focal,2,False,,64,2
0,0.32962703880141764,0.5624403953552246,0.5619244749136798,[0.57695853 0.54689042],0.5619581187629106,[0.58395522 0.53996101],0.562063752276867,[0.5701275 0.554    ],0.30532705783843994,0.7402135133743286,0.6822694815755641,[0.81795511 0.54658385],0.7422507253015728,[0.73873874 0.74576271],0.6737868331690218,[0.91620112 0.43137255],35,1,False,100,0.5,0.0005,123,focal,2,False,,64,2
0,0.3172076344490051,0.5757864713668823,0.5742015223865622,[0.54822335 0.60017969],0.5820636963646976,[0.61926606 0.54486134],0.5799016393442623,[0.49180328 0.668     ],0.2912496507167816,0.7366548180580139,0.6836740903005963,[0.81313131 0.55421687],0.7303427419354839,[0.74193548 0.71875   ],0.6752108664694928,[0.89944134 0.45098039],35,1,False,100,0.1,0.001,1,focal,2,False,,64,3
