,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.3603225157541387,0.6139180064201355,0.6137158184256586,[0.62255359 0.60487805],0.6139403853144312,[0.63740458 0.59047619],0.6141894353369763,[0.60837887 0.62      ],0.2006309747695923,0.7010676264762878,0.6724941724941724,[0.76923077 0.57575758],0.6752533783783784,[0.75675676 0.59375   ],0.6704732172198489,[0.78212291 0.55882353],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,0
0,0.30714240056626935,0.6406100988388062,0.6392673571679414,[0.66127583 0.61725888],0.6396431966074432,[0.65248227 0.62680412],0.6391548269581057,[0.67030965 0.608     ],0.21281732022762298,0.6939501762390137,0.6397435897435897,[0.77948718 0.5       ],0.6673324306025727,[0.72037915 0.61428571],0.6353653193120824,[0.84916201 0.42156863],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,0
0,0.39077723815160637,0.586272656917572,0.5851321698305777,[0.60688406 0.56338028],0.585202611518401,[0.6036036  0.56680162],0.5851001821493624,[0.61020036 0.56      ],0.20139638781547547,0.7330960631370544,0.6994652406417112,[0.8        0.59893048],0.7120648259303721,[0.76530612 0.65882353],0.6935042173293899,[0.83798883 0.54901961],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,0
0,0.39494118970983166,0.6043851375579834,0.6037499192180857,[0.61961503 0.58788481],0.6037213330713189,[0.62361624 0.58382643],0.6038324225865209,[0.61566485 0.592     ],0.25028200447559357,0.7402135133743286,0.7090230789962693,[0.80428954 0.61375661],0.7199312714776632,[0.77319588 0.66666667],0.7033081388980174,[0.83798883 0.56862745],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,1
0,0.2441280755926581,0.6062917113304138,0.5908168325014049,[0.5112426  0.67039106],0.6437493270162593,[0.72972973 0.55776892],0.6167213114754098,[0.39344262 0.84      ],0.23925110101699829,0.6441280841827393,0.6168321151958112,[0.71910112 0.51456311],0.6163896132116471,[0.72316384 0.50961538],0.6173458210099683,[0.7150838  0.51960784],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,1
0,0.5934798261698555,0.6158245801925659,0.6155101268666423,[0.60451423 0.62650602],0.6195421305993458,[0.65531915 0.58376511],0.6185100182149363,[0.56102004 0.676     ],0.19252754151821136,0.790035605430603,0.7635793226381461,[0.84266667 0.68449198],0.7795318127250901,[0.80612245 0.75294118],0.7550662723189834,[0.88268156 0.62745098],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,1
0,0.35726040689384236,0.5986654162406921,0.5943657651021321,[0.63612792 0.55260361],0.5974161594462346,[0.60526316 0.58956916],0.5951548269581057,[0.67030965 0.52      ],0.20867928266525268,0.7259786128997803,0.6880343728823335,[0.79683377 0.57923497],0.7046604938271606,[0.755      0.65432099],0.6815916310658342,[0.84357542 0.51960784],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,2
0,0.324633365168291,0.6186844706535339,0.6185010619417532,[0.62686567 0.61013645],0.6187522264792911,[0.64244742 0.59505703],0.6190109289617487,[0.61202186 0.626     ],0.214809650182724,0.7402135133743286,0.7007891243782546,[0.80939948 0.59217877],0.7240578049401578,[0.75980392 0.68831169],0.6927648154233761,[0.86592179 0.51960784],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,2
0,0.44207162366193886,0.6158245801925659,0.6157561545348367,[0.61062802 0.62088429],0.6181757048147418,[0.65020576 0.58614565],0.6177959927140255,[0.57559199 0.66      ],0.18326674103736879,0.7615658044815063,0.7427478308396529,[0.81232493 0.67317073],0.7422548270971965,[0.81460674 0.66990291],0.7432632270785409,[0.81005587 0.67647059],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.5,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,2
0,0.3563064792576958,0.6263107657432556,0.6161096381492961,[0.55353075 0.67868852],0.6568009118541034,[0.73860182 0.575     ],0.635311475409836,[0.44262295 0.828     ],0.20579539239406586,0.6832740306854248,0.6596720419133157,[0.74929577 0.57004831],0.65879329004329,[0.75568182 0.56190476],0.660724066162778,[0.74301676 0.57843137],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.1,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,3
