,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.3509639668114045,0.6167778968811035,0.6159398907103826,[0.63387978 0.598     ],0.6159398907103826,[0.63387978 0.598     ],0.6159398907103826,[0.63387978 0.598     ],0.215109121799469,0.6725978851318359,0.6413031413031414,[0.74725275 0.53535354],0.6436092342342343,[0.73513514 0.55208333],0.639692189725052,[0.75977654 0.51960784],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,0
0,0.3574291905936073,0.6329838037490845,0.6294806315980686,[0.59345301 0.66550825],0.6471779017977753,[0.70603015 0.58832565],0.63891985428051,[0.51183971 0.766     ],0.20630304515361786,0.6441280841827393,0.6024335031126202,[0.7311828  0.47368421],0.6080134243994347,[0.70466321 0.51136364],0.6004765034505422,[0.75977654 0.44117647],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.001,12,False,focal,2,False,,Conv1d,,concatenation,64,0
0,0.38306421392104206,0.6177312135696411,0.6174961922298756,[0.60801564 0.62697674],0.6211025499908274,[0.65611814 0.58608696],0.6202422586520948,[0.56648452 0.674     ],0.21059806942939757,0.6761565804481506,0.6534014665817259,[0.74220963 0.5645933 ],0.6521377161886346,[0.75287356 0.55140187],0.655137473984007,[0.73184358 0.57843137],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.001,123,False,focal,2,False,,Conv1d,,concatenation,64,0
0,0.32406696940169616,0.6062917113304138,0.5999573398142344,[0.54961832 0.65029636],0.6243296303390156,[0.68478261 0.56387665],0.6135081967213115,[0.45901639 0.768     ],0.22819052040576934,0.6049821972846985,0.5575556406655602,[0.70241287 0.41269841],0.5617667970138642,[0.67525773 0.44827586],0.5570982582977324,[0.73184358 0.38235294],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.0001,1,False,focal,2,False,,Conv1d,,concatenation,64,1
0,0.260442597024581,0.5872259140014648,0.5550717667260601,[0.43546284 0.67468069],0.653183960962254,[0.76605505 0.54031288],0.6010947176684882,[0.30418944 0.898     ],0.23995915949344634,0.6370106935501099,0.6291149068322981,[0.68322981 0.575     ],0.6346153846153846,[0.76923077 0.5       ],0.6454978639500493,[0.61452514 0.67647059],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.0001,12,False,focal,2,False,,Conv1d,,concatenation,64,1
0,0.31510065408313975,0.6110581755638123,0.6048964218455744,[0.55555556 0.65423729],0.6293519846963176,[0.69105691 0.56764706],0.61824043715847,[0.46448087 0.772     ],0.22492119967937468,0.6298932433128357,0.5886261261261261,[0.71891892 0.45833333],0.5926119837114602,[0.69633508 0.48888889],0.5871946543980722,[0.74301676 0.43137255],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.0001,123,False,focal,2,False,,Conv1d,,concatenation,64,1
0,0.31276124189881715,0.6196377873420715,0.6175230760373822,[0.58908342 0.64596273],0.6291336916181016,[0.67772512 0.58054226],0.6244735883424408,[0.52094718 0.728     ],0.193983194231987,0.7046263217926025,0.6850839173114055,[0.76353276 0.60663507],0.6831128653723064,[0.77906977 0.58715596],0.688027166173732,[0.74860335 0.62745098],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.0005,1,False,focal,2,False,,Conv1d,,concatenation,64,2
0,0.3265845898319693,0.6329838037490845,0.6323369429157961,[0.61691542 0.64775846],0.6383945741250259,[0.67982456 0.59696459],0.6363315118397086,[0.56466302 0.708     ],0.20334447622299195,0.6975088715553284,0.6708286820743925,[0.76454294 0.57711443],0.672050172050172,[0.75824176 0.58585859],0.6697885858253916,[0.77094972 0.56862745],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.0005,12,False,focal,2,False,,Conv1d,,concatenation,64,2
0,0.44549071262864504,0.6129647493362427,0.6121862115185687,[0.62956204 0.59481038],0.6121692389491395,[0.63071298 0.5936255 ],0.6122076502732241,[0.6284153 0.596    ],0.21562230885028838,0.7330960631370544,0.6994652406417112,[0.8        0.59893048],0.7120648259303721,[0.76530612 0.65882353],0.6935042173293899,[0.83798883 0.54901961],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.0005,123,False,focal,2,False,,Conv1d,,concatenation,64,2
0,0.40174122505328236,0.5900858044624329,0.5893300654784882,[0.60694698 0.57171315],0.589309378185525,[0.60917431 0.56944444],0.589367941712204,[0.60473588 0.574     ],0.2276468902826309,0.6654804348945618,0.624331550802139,[0.7486631 0.5      ],0.6322301729278473,[0.71794872 0.54651163],0.6214536093767116,[0.78212291 0.46078431],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.1,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,3
