,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id,input_dim,dimension,sig_depth,method,log_signature
0,0.9500195278840906,0.5977120995521545,0.595964002774634,[0.62254025 0.56938776],0.5964246485061512,[0.6115993 0.58125  ],0.5959398907103826,[0.63387978 0.558     ],0.473022323846817,0.608540952205658,0.5555843110190936,[0.70899471 0.40217391],0.5622931731829881,[0.67336683 0.45121951],0.5556742249972615,[0.74860335 0.3627451 ],"(64, 64)",0.5,0.001,1,focal,2,False,,64,0.0,790,28,2,gaussian_random_projection,True
0,0.4295820751610924,0.5872259140014648,0.5831284388092715,[0.62445794 0.54179894],0.5856536944713149,[0.59602649 0.5752809 ],0.5838688524590163,[0.6557377 0.512    ],0.2979286015033722,0.5729537606239319,0.5363036303630363,[0.66666667 0.40594059],0.5364917127071823,[0.66298343 0.41      ],0.5361759228831198,[0.67039106 0.40196078],"(64, 64)",0.5,0.001,12,focal,2,False,,64,0.0,790,28,2,gaussian_random_projection,True
0,0.33639273573370543,0.5815061926841736,0.5776682156381002,[0.61792863 0.5374078 ],0.5797976985894581,[0.59166667 0.56792873],0.5783151183970856,[0.64663024 0.51      ],0.2760142028331757,0.5693950057029724,0.5248934535038078,[0.67029973 0.37948718],0.5260523907572638,[0.65425532 0.39784946],0.5249479680140212,[0.68715084 0.3627451 ],"(64, 64)",0.5,0.001,123,focal,2,False,,64,0.0,790,28,2,gaussian_random_projection,True
0,0.31860337713185477,0.5719733238220215,0.5622931700222571,[0.62738589 0.49720045],0.570552504189164,[0.57621951 0.5648855 ],0.5662622950819672,[0.68852459 0.444     ],0.2633737176656723,0.5729537606239319,0.5095986038394416,[0.68586387 0.33333333],0.5149677908298598,[0.6453202  0.38461538],0.5129806112389089,[0.73184358 0.29411765],"(64, 64)",0.5,0.0001,1,focal,2,False,,64,0.1,790,28,2,gaussian_random_projection,True
0,0.319114872637917,0.5605338215827942,0.5483924890994446,[0.62244062 0.47434436],0.5586001642036125,[0.56547619 0.55172414],0.5540837887067395,[0.69216758 0.416     ],0.26072791814804075,0.5729537606239319,0.490572878897752,[0.69543147 0.28571429],0.5004228329809726,[0.6372093  0.36363636],0.5003286230693395,[0.76536313 0.23529412],"(64, 64)",0.5,0.0001,12,focal,2,False,,64,0.1,790,28,2,gaussian_random_projection,True
0,0.26980670234736276,0.5767397284507751,0.5483499348352262,[0.66158537 0.4351145 ],0.5833547186758197,[0.56880734 0.5979021 ],0.566264116575592,[0.79052823 0.342     ],0.24890309870243071,0.6120996475219727,0.4979263994754528,[0.7373494 0.2585034],0.5352636534839925,[0.64830508 0.42222222],0.5205115565779385,[0.8547486  0.18627451],"(64, 64)",0.5,0.0001,123,focal,2,False,,64,0.1,790,28,2,gaussian_random_projection,True
0,0.49346708374864917,0.5929456353187561,0.5909098796721237,[0.61976848 0.56205128],0.5915569411333211,[0.60627178 0.57684211],0.5909398907103826,[0.63387978 0.548     ],0.291279661655426,0.5800711512565613,0.5258808053077099,[0.68617021 0.3655914 ],0.5297921198936427,[0.65482234 0.4047619 ],0.5270018621973929,[0.72067039 0.33333333],"(64, 64)",0.5,0.0005,1,focal,2,False,,64,0.2,790,28,2,gaussian_random_projection,True
0,0.3484274569679709,0.5614871382713318,0.5541021053876634,[0.61148649 0.49671772],0.5591939594507208,[0.57007874 0.54830918],0.5566903460837888,[0.65938069 0.454     ],0.27066191732883454,0.5551601648330688,0.5067891093418706,[0.66124661 0.35233161],0.5078658183921342,[0.64210526 0.37362637],0.5074487895716946,[0.68156425 0.33333333],"(64, 64)",0.5,0.0005,12,focal,2,False,,64,0.2,790,28,2,gaussian_random_projection,True
0,0.26347040078219247,0.5881792306900024,0.5671913202933985,[0.6625     0.47188264],0.5934727993874163,[0.58002736 0.60691824],0.5791566484517304,[0.7723133 0.386    ],0.237728488445282,0.6156583428382874,0.5169977081741788,[0.73529412 0.2987013 ],0.5486647631844138,[0.65502183 0.44230769],0.5317395114470369,[0.83798883 0.2254902 ],"(64, 64)",0.5,0.0005,123,focal,2,False,,64,0.2,790,28,2,gaussian_random_projection,True
0,0.27443765279124765,0.5586272478103638,0.5467227748737519,[0.62018048 0.47326507],0.5564958846926318,[0.5641791  0.54881266],0.5522622950819672,[0.68852459 0.416     ],0.24850870668888092,0.6049821972846985,0.5527851458885942,[0.70557029 0.4       ],0.5587501521236461,[0.67171717 0.44578313],0.552880928907876,[0.74301676 0.3627451 ],"(64, 64)",0.1,0.001,1,focal,2,False,,64,0.3,790,28,2,gaussian_random_projection,True
0,1.114128084743724,0.5729265809059143,0.5657342243775505,[0.62162162 0.50984683],0.571164745711134,[0.57952756 0.56280193],0.5681548269581057,[0.67030965 0.466     ],0.5394369840621949,0.6227757930755615,0.561557936881771,[0.7253886  0.39772727],0.5746507376942159,[0.6763285  0.47297297],0.5626300799649468,[0.78212291 0.34313725],"(64, 64)",0.1,0.001,12,focal,2,False,,64,0.3,790,28,2,gaussian_random_projection,True
0,0.2673841723624398,0.5748331546783447,0.5605684337077808,[0.63974152 0.48139535],0.5748730043541364,[0.57474601 0.575     ],0.5676557377049181,[0.72131148 0.414     ],0.23767077028751374,0.6227757930755615,0.5500060430263476,[0.73096447 0.36904762],0.5697322057787174,[0.66976744 0.46969697],0.5541954211852339,[0.80446927 0.30392157],"(64, 64)",0.1,0.001,123,focal,2,False,,64,0.3,790,28,2,gaussian_random_projection,True
0,0.3872672389535343,0.567206859588623,0.560136028786972,[0.61590525 0.50436681],0.5651639780046178,[0.57503949 0.55528846],0.562511839708561,[0.66302368 0.462     ],0.26631335616111756,0.5871886014938354,0.5259453170447934,[0.69633508 0.35555556],0.5327144120247569,[0.65517241 0.41025641],0.5283711249863074,[0.74301676 0.31372549],"(64, 64)",0.1,0.0001,1,focal,2,False,,64,0.4,790,28,2,gaussian_random_projection,True
0,0.30718693137168884,0.5586272478103638,0.545842859480562,[0.62204082 0.4696449 ],0.5566036613417518,[0.56360947 0.54959786],0.5519945355191257,[0.69398907 0.41      ],0.26031452119350434,0.5836299061775208,0.5114641068695485,[0.69922879 0.32369942],0.5209926224010731,[0.64761905 0.3943662 ],0.5171431701172089,[0.75977654 0.2745098 ],"(64, 64)",0.1,0.0001,12,focal,2,False,,64,0.4,790,28,2,gaussian_random_projection,True
0,0.26396555672673616,0.5757864713668823,0.5506724920757302,[0.65690054 0.44444444],0.5804404214116936,[0.56951872 0.59136213],0.5659781420765027,[0.77595628 0.356     ],0.23554929494857788,0.6120996475219727,0.525580458790911,[0.72817955 0.32298137],0.5491678118796763,[0.65765766 0.44067797],0.5352722094424363,[0.81564246 0.25490196],"(64, 64)",0.1,0.0001,123,focal,2,False,,64,0.4,790,28,2,gaussian_random_projection,True
0,0.7954016152550193,0.5938989520072937,0.588049514369787,[0.63713799 0.53896104],0.5928320754716981,[0.5984     0.58726415],0.5896193078324226,[0.68123862 0.498     ],0.4152970194816589,0.608540952205658,0.5229938271604938,[0.725      0.32098765],0.5447209653092007,[0.6561086  0.43333333],0.5324789133530508,[0.81005587 0.25490196],"(64, 64)",0.1,0.0005,1,focal,2,False,,64,0.5,790,28,2,gaussian_random_projection,True
0,0.4206562550628887,0.5910390615463257,0.5886466282937584,[0.62001771 0.55727554],0.5895706198073671,[0.60344828 0.57569296],0.5887613843351549,[0.63752277 0.54      ],0.2915738821029663,0.5551601648330688,0.515924532462342,[0.65373961 0.37810945],0.5160950160950161,[0.64835165 0.38383838],0.5158834483514076,[0.65921788 0.37254902],"(64, 64)",0.1,0.0005,12,focal,2,False,,64,0.5,790,28,2,gaussian_random_projection,True
