,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.3698089105241439,0.5900858044624329,0.5811760904444973,[0.52008929 0.6422629 ],0.6106636452457779,[0.67146974 0.54985755],0.5982040072859744,[0.42440801 0.772     ],0.23528888821601868,0.6049821972846985,0.566219317154579,[0.69589041 0.43654822],0.5677136389360498,[0.6827957  0.45263158],0.5655329170774455,[0.70949721 0.42156863],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.001,1,focal,2,False,,Conv1d,,concatenation,64,0
0,0.48185913352405324,0.5643470287322998,0.5643216578193772,[0.56099904 0.56764428],0.5660477879464612,[0.59349593 0.53859964],0.5659380692167577,[0.53187614 0.6       ],0.26932958140969276,0.8185053467750549,0.7921868882411798,[0.86614173 0.71823204],0.8198082466474496,[0.81683168 0.82278481],0.7795213057289955,[0.92178771 0.6372549 ],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.001,12,focal,2,False,,Conv1d,,concatenation,64,0
0,0.29639506865950194,0.6081982851028442,0.6081470056541335,[0.61262959 0.60366442],0.6088167044925512,[0.63476562 0.58286778],0.6089927140255009,[0.59198543 0.626     ],0.22087692618370056,0.6476868391036987,0.5811463932426939,[0.7480916  0.41420118],0.6046519737759799,[0.68691589 0.52238806],0.5821831525906451,[0.82122905 0.34313725],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.001,123,focal,2,False,,Conv1d,,concatenation,64,0
0,0.29276251968215494,0.6015252470970154,0.5930939123979213,[0.53452116 0.65166667],0.6231252558329923,[0.68767908 0.55857143],0.6095792349726776,[0.43715847 0.782     ],0.24591492116451263,0.5765124559402466,0.4998728705822527,[0.69565217 0.30409357],0.5091605140825813,[0.64150943 0.37681159],0.5073392485485815,[0.75977654 0.25490196],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,1
0,0.5353263064342386,0.6396568417549133,0.6364184852374839,[0.60210526 0.67073171],0.6536763800375605,[0.71321696 0.5941358 ],0.6454735883424407,[0.52094718 0.77      ],0.6156139612197876,0.6975088715553284,0.6327475129541645,[0.78696742 0.47852761],0.6764903129657228,[0.71363636 0.63934426],0.6297239566217548,[0.87709497 0.38235294],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0001,12,focal,2,False,,Conv1d,,concatenation,64,1
0,0.4001859812175526,0.6129647493362427,0.6129362367311327,[0.60961538 0.61625709],0.6149252859718664,[0.64562118 0.58422939],0.6147067395264116,[0.57741348 0.652     ],0.24265993535518646,0.6690391302108765,0.6141306755260243,[0.75968992 0.46857143],0.6341873024236038,[0.70673077 0.56164384],0.6115949172965276,[0.82122905 0.40196078],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0001,123,focal,2,False,,Conv1d,,concatenation,64,1
0,0.46203551748219657,0.5586272478103638,0.5562982756651822,[0.52415211 0.58844444],0.5655075471698112,[0.60141509 0.5296    ],0.5632404371584699,[0.46448087 0.662     ],0.33980366587638855,0.6512455344200134,0.6196408839779005,[0.72928177 0.51      ],0.6208598193375712,[0.72131148 0.52040816],0.6187150837988826,[0.73743017 0.5       ],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0005,1,focal,2,False,,Conv1d,,concatenation,64,2
0,0.3043852185501772,0.6129647493362427,0.6100300333296708,[0.57620042 0.64385965],0.6241270629584352,[0.67481663 0.5734375 ],0.6183661202185793,[0.50273224 0.734     ],0.22815222442150115,0.5836299061775208,0.5049911920140927,[0.70229008 0.30769231],0.5164597572883247,[0.64485981 0.3880597 ],0.5129258407273524,[0.77094972 0.25490196],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0005,12,focal,2,False,,Conv1d,,concatenation,64,2
0,0.6352961115977344,0.5595805644989014,0.5594039783264846,[0.5682243  0.55058366],0.5597390653172802,[0.58349328 0.53598485],0.5598670309653916,[0.55373406 0.566     ],0.20643171966075896,0.7615658044815063,0.7237214762638491,[0.82597403 0.62146893],0.752588996763754,[0.77184466 0.73333333],0.7137419213495454,[0.88826816 0.53921569],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0005,123,focal,2,False,,Conv1d,,concatenation,64,2
0,0.3877496368744794,0.5929456949234009,0.5775909302235663,[0.49705536 0.6581265 ],0.6260324877614598,[0.70333333 0.54873164],0.603167577413479,[0.38433515 0.822     ],0.38229005336761473,0.6049821972846985,0.5720048849431234,[0.6908078  0.45320197],0.5721672167216721,[0.68888889 0.45544554],0.5718589111622303,[0.69273743 0.45098039],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.001,1,focal,2,False,,Conv1d,,concatenation,64,3
0,0.331241670776816,0.5738798975944519,0.5734829817251043,[0.56047198 0.58649399],0.5772926872324462,[0.60897436 0.54561102],0.5765628415300547,[0.51912568 0.634     ],0.24375114142894744,0.5765124559402466,0.5256677589117268,[0.68096515 0.37037037],0.5284690129162223,[0.65463918 0.40229885],0.5263172308029357,[0.70949721 0.34313725],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.001,12,focal,2,False,,Conv1d,,concatenation,64,3
0,0.27591972316012664,0.6120114326477051,0.6120057979707103,[0.61348528 0.61052632],0.6130970583952235,[0.64087302 0.5853211 ],0.6131712204007286,[0.58834244 0.638     ],0.20311920940876008,0.7153024673461914,0.6626650660264105,[0.79591837 0.52941176],0.697079536039768,[0.73239437 0.66176471],0.6563424252382517,[0.87150838 0.44117647],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.001,123,focal,2,False,,Conv1d,,concatenation,64,3
0,0.38073839685496164,0.5948522686958313,0.5879259269529209,[0.53450164 0.64135021],0.6125370979385578,[0.67032967 0.55474453],0.6022222222222222,[0.44444444 0.76      ],0.2707346349954605,0.5943060517311096,0.5341186736474695,[0.70157068 0.36666667],0.5415877226222053,[0.66009852 0.42307692],0.5360663818600065,[0.74860335 0.32352941],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,4
0,0.42474015320048614,0.5262154340744019,0.5242161498188044,[0.55505819 0.49337411],0.5244465755029135,[0.54577465 0.5031185 ],0.5243315118397085,[0.56466302 0.484     ],0.2547443211078644,0.6725978851318359,0.6303477465110958,[0.75531915 0.50537634],0.6401679961324631,[0.72081218 0.55952381],0.6270402015554826,[0.79329609 0.46078431],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0001,12,focal,2,False,,Conv1d,,concatenation,64,4
0,1.0408417407204122,0.5548141002655029,0.5529354969122368,[0.58191585 0.52395515],0.5532433164475418,[0.5721831  0.53430353],0.5529927140255009,[0.59198543 0.514     ],0.4842287003993988,0.7615658044815063,0.7220081210778885,[0.82687339 0.61714286],0.7544783983140148,[0.76923077 0.73972603],0.7116332566546171,[0.89385475 0.52941176],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.0001,123,focal,2,False,,Conv1d,,concatenation,64,4
