,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id
0,,0.6702702641487122,0.6427921236718726,[0.74186488 0.54371937],0.6412117384843983,[0.75542348 0.527     ],0.6451593835077447,[0.7287844  0.56153436],,0.9063215851783752,0.9005175486453416,[0.92454674 0.87648836],0.901336980275887,[0.92164502 0.88102894],0.8997305625636778,[0.92746678 0.87199434],35,1,True,200,0.1,0.001,1,focal,2,True,5,64,0
0,,0.6807082891464233,0.6569457616592125,[0.74723329 0.56665823],0.654668946702121,[0.76983886 0.53949904],0.6613071439394309,[0.72591743 0.59669686],,0.9113088250160217,0.906326548469472,[0.9279299 0.8847232],0.9049906596533746,[0.93324521 0.87673611],0.9077659706879921,[0.9226748  0.89285714],35,1,True,200,0.1,0.001,12,focal,2,True,5,64,0
0,,0.6753028631210327,0.651613299085992,[0.74246008 0.56076652],0.6493978137707195,[0.76648352 0.53231211],0.6561657626360629,[0.71989679 0.59243474],,0.8994473814964294,0.8937428436488464,[0.91836288 0.86912281],0.892635713467449,[0.92280625 0.86246518],0.8949230583667633,[0.9139621  0.87588402],35,1,True,200,0.1,0.001,123,focal,2,True,5,64,0
0,,0.6848089694976807,0.652233151139563,[0.7586699 0.5457964],0.6528537082551708,[0.75532822 0.5503792 ],0.6516652879130762,[0.76204128 0.54128929],,0.9100956916809082,0.9046435666526029,[0.92744479 0.88184234],0.904950225373142,[0.92633638 0.88356408],0.9043415843124594,[0.92855587 0.8801273 ],35,1,True,200,0.1,0.0005,1,focal,2,True,5,64,1
0,,0.6801491379737854,0.6494779904979529,[0.75316456 0.54579142],0.6490599028346573,[0.75577367 0.54234613],0.6499270808385429,[0.75057339 0.54928077],,0.9082086682319641,0.9028135755708497,[0.92571179 0.87991536],0.9024115558641148,[0.92722902 0.87759409],0.9032242299906003,[0.92419952 0.88224894],35,1,True,200,0.1,0.0005,12,focal,2,True,5,64,1
0,,0.6795899271965027,0.6513051563228245,[0.75061657 0.55199375],0.6500355869219935,[0.75976505 0.54030612],0.6529419842076708,[0.74168578 0.56419819],,0.9082086682319641,0.9027873959270074,[0.92574419 0.8798306 ],0.9024909979681018,[0.9268559 0.8781261],0.9030884406703109,[0.92463516 0.88154173],35,1,True,200,0.1,0.0005,123,focal,2,True,5,64,1
0,,0.6846225261688232,0.6479765821854104,[0.76155581 0.53439736],0.6507689545902547,[0.74889135 0.55264656],0.6459854137238322,[0.77465596 0.51731486],,0.8949993252754211,0.8880053181671391,[0.91599267 0.86001797],0.8907029650632238,[0.90709099 0.87431494],0.8856259186767543,[0.92507079 0.84618105],35,1,True,200,0.1,0.0001,1,focal,2,True,5,64,2
0,,0.6825722455978394,0.6470506679930763,[0.7590208  0.53508054],0.6490417694107753,[0.74937133 0.54871221],0.645515883974525,[0.76892202 0.52210975],,0.893112301826477,0.8862678828291841,[0.9141682  0.85836757],0.8878793904286528,[0.90856282 0.86719596],0.8847801429954738,[0.91984317 0.84971711],35,1,True,200,0.1,0.0001,12,focal,2,True,5,64,2
0,,0.6967381238937378,0.6625350591072181,[0.76997031 0.55509981],0.6648892075282467,[0.7595537  0.57022472],0.6607165659382286,[0.78067661 0.54075653],,0.8878555297851562,0.8796518404747693,[0.91107311 0.84823057],0.8852373933582207,[0.89443861 0.87603617],0.8752369188594498,[0.92833805 0.82213579],35,1,True,200,0.1,0.0001,123,focal,2,True,5,64,2
0,,0.6674743890762329,0.6440968891070407,[0.73531157 0.55288221],0.6419996227884663,[0.76199262 0.52200663],0.6490378153211498,[0.71043578 0.58763985],,0.9095565676689148,0.9045694399967641,[0.92638508 0.8827538 ],0.9028918880535818,[0.93324492 0.87253886],0.9064180517998901,[0.91962535 0.89321075],35,1,True,300,0.1,0.001,1,focal,2,True,5,64,3
0,,0.6952469944953918,0.6664654457209351,[0.76444316 0.56848773],0.6658009619916948,[0.76831741 0.56328452],0.6671978788374968,[0.7606078  0.57378796],,0.8987734317779541,0.8928093564445114,[0.91809358 0.86752514],0.8924687096775681,[0.91939712 0.8655403 ],0.8931564108117567,[0.91679373 0.86951909],35,1,True,300,0.1,0.001,12,focal,2,True,5,64,3
0,,0.6687791347503662,0.6468117026422535,[0.73489482 0.55872858],0.6446761184852978,[0.76609642 0.52325581],0.6527480015200912,[0.70613532 0.59936068],,0.8990430235862732,0.8933225752940048,[0.91802561 0.86861954],0.8921931039002782,[0.92256929 0.86181692],0.8945284375031772,[0.91352646 0.87553041],35,1,True,300,0.1,0.001,123,focal,2,True,5,64,3
0,,0.6751164793968201,0.645943973534381,[0.74757422 0.54431373],0.6448675964302175,[0.75534094 0.53439425],0.6472870070090375,[0.7399656  0.55460842],,0.9098260998725891,0.9046028315788088,[0.92692518 0.88228049],0.90388777012207,[0.92966696 0.87810858],0.9053458707261024,[0.92419952 0.88649222],35,1,True,300,0.1,0.0005,1,focal,2,True,5,64,4
0,,0.67940354347229,0.6504118016987294,[0.75108538 0.54973822],0.6493649519788549,[0.75832846 0.54040144],0.6516913304707395,[0.74397936 0.5594033 ],,0.9136002063751221,0.9084354776006438,[0.9301819  0.88668906],0.9084077839925884,[0.93028322 0.88653234],0.9084632099517012,[0.93008059 0.88684583],35,1,True,300,0.1,0.0005,12,focal,2,True,5,64,4
0,,0.6777260303497314,0.6492766813741497,[0.74916582 0.54938754],0.6480258623273099,[0.75829662 0.5377551 ],0.6508933284618731,[0.74025229 0.56153436],,0.9065911769866943,0.9010208905708983,[0.92450158 0.8775402 ],0.9009395372629041,[0.92480384 0.87707524],0.9011025892550981,[0.92419952 0.87800566],35,1,True,300,0.1,0.0005,123,focal,2,True,5,64,4
0,,0.6792171597480774,0.6432262558526289,[0.75654265 0.52990986],0.6452203833636169,[0.74671879 0.54372197],0.641705269730636,[0.76662844 0.5167821 ],,0.8991777896881104,0.8928493643034957,[0.91888961 0.86680912],0.893974221507048,[0.91492118 0.87302726],0.8917857705115815,[0.92289262 0.86067893],35,1,True,300,0.1,0.0001,1,focal,2,True,5,64,5
0,,0.679962694644928,0.645989326843596,[0.75565675 0.5363219 ],0.6470117671745319,[0.75021192 0.54381161],0.6451084439594708,[0.76118119 0.5290357 ],,0.8979646563529968,0.891582745933081,[0.91788697 0.86527852],0.8926158890767243,[0.9142178  0.87101397],0.8906019079208229,[0.92158571 0.8596181 ],35,1,True,300,0.1,0.0001,12,focal,2,True,5,64,5
0,,0.6866728663444519,0.6527882288338731,[0.7612555  0.54432095],0.6541880163453575,[0.75429215 0.55408389],0.6516223673341708,[0.76834862 0.53489611],,0.8941906094551086,0.8867470467120996,[0.91578157 0.85771252],0.8911032890241899,[0.90232558 0.879881  ],0.883139310445965,[0.92964496 0.83663366],35,1,True,300,0.1,0.0001,123,focal,2,True,5,64,5
0,,0.6792171597480774,0.6541638242347608,[0.74724629 0.56108136],0.6520973983386279,[0.76603433 0.53816047],0.6576996769195427,[0.7293578  0.58604156],,0.9014691710472107,0.8957479161699514,[0.92017036 0.87132547],0.8950986650748711,[0.92268944 0.86750789],0.8964209000636816,[0.917665  0.8751768],35,1,True,400,0.1,0.001,1,focal,2,True,5,64,6
0,,0.6710158586502075,0.6502929045861505,[0.73542198 0.56516383],0.6481605706069682,[0.77065661 0.52566453],0.6571749308382985,[0.70326835 0.61108151],,0.8966168165206909,0.8910149893980241,[0.91572355 0.86630643],0.8890961150462782,[0.92394678 0.85424545],0.89317913222383,[0.90764539 0.87871287],35,1,True,400,0.1,0.001,12,focal,2,True,5,64,6
0,,0.6738117337226868,0.6453031124092286,[0.74586117 0.54474506],0.644010666880515,[0.75573867 0.53228266],0.6470217700507838,[0.73623853 0.55780501],,0.9063215851783752,0.9008022672822042,[0.92420111 0.87740342],0.9004546559621495,[0.92551332 0.87539599],0.9011563504267158,[0.92289262 0.87942008],35,1,True,400,0.1,0.001,123,focal,2,True,5,64,6
0,,0.6739981174468994,0.6480784872413903,[0.74358598 0.55257099],0.6461860753004435,[0.76087609 0.53149606],0.6512252374225902,[0.72706422 0.57538625],,0.9087477922439575,0.9031741481881159,[0.92640504 0.87994325],0.9036501180259101,[0.92469618 0.88260406],0.9027093396864969,[0.92812024 0.87729844],35,1,True,400,0.1,0.0005,1,focal,2,True,5,64,7
0,,0.6801491379737854,0.6486233842844961,[0.75387263 0.54337414],0.6485508904990445,[0.7543054  0.54279638],0.6486967418240116,[0.75344037 0.54395312],,0.9052432775497437,0.8993445550399592,[0.92371134 0.87497777],0.9002791688073735,[0.92041522 0.88014311],0.8984519247269656,[0.92703115 0.8698727 ],35,1,True,400,0.1,0.0005,12,focal,2,True,5,64,7
0,,0.6743709444999695,0.6498406142678483,[0.74252027 0.55716096],0.6477296193890583,[0.7640279  0.53143133],0.6538495787979062,[0.72219037 0.58550879],,0.9076694846153259,0.9024378692608723,[0.9250301  0.87984564],0.9012817730929024,[0.92960845 0.8729551 ],0.9036712256345589,[0.92049662 0.88684583],35,1,True,400,0.1,0.0005,123,focal,2,True,5,64,7
0,,0.6749300956726074,0.635075236461462,[0.75567386 0.51447661],0.6388398098965613,[0.73890411 0.53877551],0.6327486919151681,[0.77322248 0.49227491],,0.8998517394065857,0.8926949034275603,[0.92040707 0.86498274],0.8976422751414477,[0.90556492 0.88971963],0.8886640025361717,[0.93574385 0.84158416],35,1,True,400,0.1,0.0001,1,focal,2,True,5,64,8
