,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,add_time_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.32527352168279533,0.6215443015098572,0.6132081342268165,[0.55642458 0.66999169],0.6464553235925308,[0.71965318 0.57325747],0.6297759562841531,[0.45355191 0.806     ],0.2232033282518387,0.6619216799736023,0.6213314041732273,[0.74530831 0.4973545 ],0.628362365209148,[0.71649485 0.54022989],0.6186603132873261,[0.77653631 0.46078431],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.5,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,0
0,0.5276634815861198,0.6549094319343567,0.6447966086474999,[0.58486239 0.70473083],0.692257503262288,[0.78947368 0.59504132],0.6642404371584699,[0.46448087 0.864     ],0.23787587881088257,0.7330960631370544,0.7108141114480563,[0.79108635 0.63054187],0.7112761276127613,[0.78888889 0.63366337],0.7103735348888158,[0.79329609 0.62745098],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.5,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,0
0,0.5895243532517377,0.6358436346054077,0.6356685141543743,[0.62768031 0.64365672],0.6390996320241603,[0.67505241 0.60314685],0.6382604735883424,[0.58652095 0.69      ],0.269473060965538,0.6832740306854248,0.6537923778672978,[0.75482094 0.55276382],0.6557877633348275,[0.74456522 0.56701031],0.652289407383065,[0.76536313 0.53921569],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.5,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,0
0,0.26594801159466014,0.6015252470970154,0.5974925094733132,[0.55720339 0.63778163],0.6142569581542987,[0.66582278 0.56269113],0.6075264116575592,[0.47905282 0.736     ],0.237704136967659,0.5943060517311096,0.5224508050089445,[0.70769231 0.3372093 ],0.5341570751523358,[0.65402844 0.41428571],0.5276317230802936,[0.77094972 0.28431373],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.5,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,1
0,0.23715582577621236,0.5929456353187561,0.5808778189174495,[0.5097589  0.65199674],0.6198236605807923,[0.68944099 0.55020633],0.6021857923497268,[0.40437158 0.8       ],0.2362828552722931,0.5978647470474243,0.5563054565779362,[0.69209809 0.42051282],0.5581960649736902,[0.67553191 0.44086022],0.555728995508818,[0.70949721 0.40196078],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.5,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,1
0,0.3184954383793999,0.5748331546783447,0.573825833485152,[0.59454545 0.55310621],0.5738416460761375,[0.59346642 0.55421687],0.5738142076502732,[0.59562842 0.552     ],0.20655997693538666,0.7153024673461914,0.650497512437811,[0.80099502 0.5       ],0.7058141332920984,[0.72197309 0.68965517],0.6457991017636104,[0.89944134 0.39215686],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.5,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,1
0,0.34826748160754933,0.6644423007965088,0.6614267375756464,[0.62947368 0.69337979],0.6799167205443182,[0.74563591 0.61419753],0.6703132969034609,[0.54462659 0.796     ],0.2318367600440979,0.608540952205658,0.5361644657863145,[0.71938776 0.35294118],0.5515741507870754,[0.66197183 0.44117647],0.5409135721327637,[0.7877095  0.29411765],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.5,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,2
0,0.4186023158185622,0.6463298201560974,0.6463182671204555,[0.6442953  0.64834123],0.6481890797680272,[0.68016194 0.61621622],0.6480109289617486,[0.61202186 0.684     ],0.2572963058948517,0.6832740306854248,0.6647811808859996,[0.74351585 0.58604651],0.6626896333754742,[0.76785714 0.55752212],0.669158724942491,[0.72067039 0.61764706],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.5,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,2
0,0.5112874998765833,0.6482363939285278,0.6482159556572215,[0.64553314 0.65089877],0.6502605421027281,[0.68292683 0.61759425],0.6500109289617486,[0.61202186 0.688     ],0.2098965048789978,0.7473309636116028,0.7072272360407954,[0.81558442 0.59887006],0.7344012944983819,[0.76213592 0.70666667],0.6983514076021471,[0.87709497 0.51960784],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.5,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,2
0,0.34002376128645506,0.6120114326477051,0.5951631179446333,[0.51257485 0.67775139],0.6545976958820996,[0.74825175 0.56094364],0.6228998178506375,[0.38979964 0.856     ],0.21560218036174775,0.6939501762390137,0.6691039544309344,[0.75977654 0.57843137],0.6691039544309344,[0.75977654 0.57843137],0.6691039544309344,[0.75977654 0.57843137],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)","(64, 64)",0.1,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,3
