,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id,input_dim,dimension,sig_depth,method,log_signature
0,0.28599164591116066,0.4718779921531677,0.46039896303779415,[0.5391015  0.38169643],0.46399484894890713,[0.49617152 0.43181818],0.4660819672131148,[0.59016393 0.342     ],0.24213337600231172,0.6476868391036987,0.5439881976887141,[0.76144578 0.32653061],0.601412429378531,[0.66949153 0.53333333],0.5589878409464344,[0.88268156 0.23529412],"(64, 64)",0.5,0.001,1,focal,2,False,,64,0.0,790,28,2,umap,True
0,0.27686600825365854,0.4575786590576172,0.4418673586272997,[0.5355102  0.34822451],0.4463569015022923,[0.4852071 0.4075067],0.45072495446265937,[0.59744991 0.304     ],0.25695946514606477,0.6120996475219727,0.4392860411899314,[0.75057208 0.128     ],0.49174250084260196,[0.63565891 0.34782609],0.4973162449337277,[0.91620112 0.07843137],"(64, 64)",0.5,0.001,12,focal,2,False,,64,0.0,790,28,2,umap,True
0,0.28655659801819744,0.45090562105178833,0.4416582884854219,[0.51351351 0.36980306],0.4434763589333942,[0.47874016 0.40821256],0.4458670309653916,[0.55373406 0.338     ],0.24736040830612183,0.5943060517311096,0.5368131868131868,[0.7        0.37362637],0.5433457711442786,[0.66169154 0.425     ],0.5381750465549349,[0.74301676 0.33333333],"(64, 64)",0.5,0.001,123,focal,2,False,,64,0.0,790,28,2,umap,True
0,0.2776428180582383,0.5052430629730225,0.4999425940332698,[0.5514261  0.44845909],0.5015645512591002,[0.52467105 0.47845805],0.501528233151184,[0.58105647 0.422     ],0.24727445542812349,0.5765124559402466,0.4998728705822527,[0.69565217 0.30409357],0.5091605140825813,[0.64150943 0.37681159],0.5073392485485815,[0.75977654 0.25490196],"(64, 64)",0.5,0.0001,1,focal,2,False,,64,0.1,790,28,2,umap,True
0,0.26059138950179606,0.49475690722465515,0.4770550212951676,[0.57326892 0.38084112],0.4857868411239198,[0.51370851 0.45786517],0.48722586520947175,[0.64845173 0.326     ],0.24109470546245576,0.6227757930755615,0.4515760789512447,[0.75799087 0.14516129],0.5250087750087751,[0.64092664 0.40909091],0.5078047978968123,[0.9273743  0.08823529],"(64, 64)",0.5,0.0001,12,focal,2,False,,64,0.1,790,28,2,umap,True
0,0.2639305144548416,0.5052430629730225,0.5003317776951774,[0.5498699  0.45079365],0.5017430612396756,[0.52483444 0.47865169],0.5017067395264116,[0.57741348 0.426     ],0.23824881315231322,0.6690391302108765,0.537149536848444,[0.78422274 0.29007634],0.6629036672140121,[0.67063492 0.65517241],0.565204294008106,[0.94413408 0.18627451],"(64, 64)",0.5,0.0001,123,focal,2,False,,64,0.1,790,28,2,umap,True
0,0.2634876046110602,0.4880838990211487,0.4739409254802641,[0.56019656 0.38768529],0.47992847669571803,[0.50892857 0.45092838],0.4814754098360656,[0.62295082 0.34      ],0.23467957675457002,0.5978647470474243,0.5281661886859741,[0.70951157 0.34682081],0.5398390342052314,[0.65714286 0.42253521],0.5325336838646073,[0.77094972 0.29411765],"(64, 64)",0.5,0.0005,1,focal,2,False,,64,0.2,790,28,2,umap,True
0,0.3505079904023339,0.5081029534339905,0.5080023559866785,[0.51503759 0.50096712],0.5085287807716083,[0.53203883 0.48501873],0.508544626593807,[0.49908925 0.518     ],0.25108658969402314,0.6370106935501099,0.5194164989939638,[0.75714286 0.28169014],0.5798755186721991,[0.65975104 0.5       ],0.5421732938985651,[0.88826816 0.19607843],"(64, 64)",0.5,0.0005,12,focal,2,False,,64,0.2,790,28,2,umap,True
0,0.3096681412528543,0.4899904727935791,0.4898996096182075,[0.49670743 0.48309179],0.4904541983344849,[0.51361868 0.46728972],0.49043715846994534,[0.48087432 0.5       ],0.23459809720516206,0.6512455344200134,0.5652077807250221,[0.75862069 0.37179487],0.6077255669766684,[0.6784141  0.53703704],0.5723244605104612,[0.8603352  0.28431373],"(64, 64)",0.5,0.0005,123,focal,2,False,,64,0.2,790,28,2,umap,True
0,0.3432760378893684,0.49285033345222473,0.48211952487008164,[0.40757238 0.55666667],0.500749079001228,[0.5243553  0.47714286],0.5006666666666667,[0.33333333 0.668     ],0.23809211552143097,0.6014235019683838,0.584319526627219,[0.66863905 0.5       ],0.584854108670997,[0.71069182 0.45901639],0.5901522620221273,[0.63128492 0.54901961],"(64, 64)",0.1,0.001,1,focal,2,False,,64,0.3,790,28,2,umap,True
0,0.32958490532987256,0.4690181016921997,0.46799510145363,[0.4913242 0.444666 ],0.46800697645628064,[0.49267399 0.44333996],0.46799089253187615,[0.48998179 0.446     ],0.23862523436546326,0.6619216799736023,0.5544670127009029,[0.77326969 0.33566434],0.6301829268292682,[0.675      0.58536585],0.5701610253039764,[0.90502793 0.23529412],"(64, 64)",0.1,0.001,12,focal,2,False,,64,0.3,790,28,2,umap,True
0,0.2848845159306246,0.5090562701225281,0.5086543804871482,[0.49460255 0.52270621],0.5116084224451549,[0.53617021 0.48704663],0.5115081967213114,[0.45901639 0.564     ],0.2305735468864441,0.626334547996521,0.5557613261664934,[0.73282443 0.37869822],0.5752545682800948,[0.6728972  0.47761194],0.5590973819695476,[0.80446927 0.31372549],"(64, 64)",0.1,0.001,123,focal,2,False,,64,0.3,790,28,2,umap,True
0,0.2700156727257897,0.48617732524871826,0.48437609718418656,[0.51485149 0.45390071],0.48442786469560895,[0.5088968  0.45995893],0.4844735883424408,[0.52094718 0.448     ],0.24350934028625487,0.5800711512565613,0.544031903190319,[0.67222222 0.41584158],0.5442541436464088,[0.66850829 0.42      ],0.543871179756819,[0.67597765 0.41176471],"(64, 64)",0.1,0.0001,1,focal,2,False,,64,0.4,790,28,2,umap,True
0,0.28902071714401245,0.49380362033843994,0.4931384940448079,[0.47477745 0.51149954],0.49653753401623923,[0.51948052 0.47359455],0.49657923497267764,[0.43715847 0.556     ],0.23498909771442414,0.6583629846572876,0.529641512065839,[0.77570093 0.28358209],0.6302083333333333,[0.66666667 0.59375   ],0.5568244057399496,[0.9273743  0.18627451],"(64, 64)",0.1,0.0001,12,focal,2,False,,64,0.4,790,28,2,umap,True
0,0.2899242586949292,0.4690181016921997,0.4682449324308951,[0.48852158 0.44796829],0.4683002255693808,[0.49259259 0.44400786],0.4682586520947177,[0.4845173 0.452    ],0.22810131311416626,0.6725978851318359,0.5537834852250759,[0.78403756 0.32352941],0.6615860919266492,[0.67611336 0.64705882],0.5743235841822762,[0.93296089 0.21568627],"(64, 64)",0.1,0.0001,123,focal,2,False,,64,0.4,790,28,2,umap,True
